Iteration,AUC,Precision,Recall,Contrast
<built-in function iter>,-0.580952380952381,-0.16269841269841268,-0.1428571428571428,Dummy-RF
<built-in function iter>,-0.3198412698412697,-0.1642910727681921,0.08571428571428574,Dummy-RF
<built-in function iter>,-0.303968253968254,-0.08479262672811061,0.0,Dummy-RF
<built-in function iter>,-0.31587301587301586,-0.13682432432432434,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.3992063492063492,-0.14912280701754388,-0.11428571428571421,Dummy-RF
<built-in function iter>,-0.2666666666666667,-0.1700879765395894,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.39365079365079375,-0.1433933933933934,-0.17142857142857137,Dummy-RF
<built-in function iter>,-0.27142857142857135,-0.30625,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.373015873015873,-0.18611111111111112,-0.11428571428571421,Dummy-RF
<built-in function iter>,-0.25317460317460316,-0.14841269841269844,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.276984126984127,-0.05641025641025643,0.02857142857142858,Dummy-RF
<built-in function iter>,-0.40317460317460324,-0.18869731800766287,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.2515873015873016,-0.2712418300653594,-0.22857142857142854,Dummy-RF
<built-in function iter>,-0.3555555555555555,-0.22381635581061687,-0.08571428571428563,Dummy-RF
<built-in function iter>,-0.42619047619047634,-0.19656019656019663,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.3190476190476191,-0.24762808349146104,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.3555555555555557,-0.18181818181818188,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.35873015873015873,-0.29761904761904756,0.11428571428571432,Dummy-RF
<built-in function iter>,-0.4642857142857144,-0.3094128611369992,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.4468253968253968,-0.21405228758169936,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.42777777777777753,-0.24583333333333324,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.2785714285714286,-0.147128245476003,0.08571428571428563,Dummy-RF
<built-in function iter>,-0.36190476190476184,-0.2450450450450451,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.3547619047619048,-0.19983619983619982,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.5158730158730159,-0.25,-0.25714285714285723,Dummy-RF
<built-in function iter>,-0.3015873015873015,-0.03492063492063491,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.17142857142857149,-0.25,-0.25714285714285723,Dummy-RF
<built-in function iter>,-0.45873015873015877,-0.20926640926640927,-0.2571428571428571,Dummy-RF
<built-in function iter>,-0.2222222222222221,-0.11384111384111384,-0.19999999999999996,Dummy-RF
<built-in function iter>,-0.37539682539682534,-0.15849673202614378,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.3301587301587301,-0.22811059907834097,0.0,Dummy-RF
<built-in function iter>,-0.42063492063492086,-0.2171052631578947,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.2944444444444445,-0.12524719841793008,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.43571428571428567,-0.23888888888888882,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.4269841269841269,-0.24347158218125964,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.49285714285714294,-0.26503923278116825,-0.11428571428571421,Dummy-RF
<built-in function iter>,-0.30000000000000004,-0.09536541889483063,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.4015873015873016,-0.30000000000000004,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.34365079365079376,-0.2333333333333334,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.29047619047619055,-0.151152073732719,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.30873015873015874,-0.062200956937799035,-0.17142857142857137,Dummy-RF
<built-in function iter>,-0.32460317460317467,-0.20272435897435892,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.19999999999999984,-0.1627705627705628,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.40793650793650793,-0.23865546218487388,-0.2571428571428571,Dummy-RF
<built-in function iter>,-0.36269841269841263,-0.23084677419354838,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.47380952380952385,-0.2591911764705882,-0.2857142857142858,Dummy-RF
<built-in function iter>,-0.407142857142857,-0.26682692307692313,-0.3428571428571429,Dummy-RF
<built-in function iter>,-0.45238095238095244,-0.26436781609195414,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.44682539682539674,-0.25119617224880386,-0.1428571428571428,Dummy-RF
<built-in function iter>,-0.2682539682539684,-0.11111111111111116,-0.11428571428571421,Dummy-RF
<built-in function iter>,-0.35476190476190467,-0.04338153503893216,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.5396825396825398,-0.2139423076923077,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.35873015873015857,-0.27521008403361347,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.34444444444444444,-0.2583465818759936,-0.20000000000000007,Dummy-RF
<built-in function iter>,-0.292063492063492,-0.17992277992277994,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.2849206349206349,-0.12587412587412594,0.0,Dummy-RF
<built-in function iter>,-0.40634920634920646,-0.17690058479532167,-0.1428571428571428,Dummy-RF
<built-in function iter>,-0.29841269841269835,-0.1433933933933934,-0.17142857142857137,Dummy-RF
<built-in function iter>,-0.40079365079365065,-0.30000000000000004,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.43412698412698386,-0.2545771578029641,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.41825396825396816,-0.17652329749103945,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.3944444444444445,-0.25135135135135134,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.32619047619047625,-0.11308677098150777,-0.1428571428571428,Dummy-RF
<built-in function iter>,-0.4825396825396826,-0.29729729729729726,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.14920634920634934,-0.24423963133640547,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.31746031746031744,-0.08190008190008191,0.0,Dummy-RF
<built-in function iter>,-0.3857142857142857,-0.24024024024024015,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.2142857142857144,-0.23344651952461803,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.09523809523809523,-0.16091954022988508,0.05714285714285716,Dummy-RF
<built-in function iter>,-0.1253968253968254,-0.22275641025641024,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.44444444444444453,-0.2846283783783784,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.37936507936507946,-0.17942583732057416,-0.2857142857142857,Dummy-RF
<built-in function iter>,-0.342063492063492,-0.10360360360360366,-0.08571428571428563,Dummy-RF
<built-in function iter>,-0.39920634920634945,-0.20833333333333337,-0.17142857142857149,Dummy-RF
