Iteration,AUC,Precision,Recall,Contrast
<built-in function iter>,-0.2611111111111112,-0.12121212121212122,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.3714285714285715,-0.1900610287707062,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.22063492063492063,-0.07459207459207462,0.05714285714285716,Dummy-RF
<built-in function iter>,-0.3761904761904761,-0.15656565656565657,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.3738095238095238,-0.24285714285714288,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.4968253968253967,-0.3212121212121213,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.3936507936507938,-0.1569069069069069,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.27380952380952406,-0.14489489489489493,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.2976190476190476,-0.05777777777777782,-0.2857142857142858,Dummy-RF
<built-in function iter>,-0.24682539682539695,-0.03832442067736186,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.22777777777777775,-0.07001044932079414,0.02857142857142858,Dummy-RF
<built-in function iter>,-0.32460317460317456,-0.24044734389561973,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.15476190476190477,-0.21621621621621623,-0.22857142857142854,Dummy-RF
<built-in function iter>,-0.3365079365079364,-0.1435006435006435,-0.2571428571428571,Dummy-RF
<built-in function iter>,-0.3714285714285715,-0.06666666666666676,0.1428571428571429,Dummy-RF
<built-in function iter>,-0.20396825396825402,-0.1103448275862069,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.2420634920634921,-0.20000000000000007,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.33888888888888885,-0.07551669316375198,-0.1428571428571428,Dummy-RF
<built-in function iter>,-0.31666666666666665,-0.19790758500435923,-0.3142857142857143,Dummy-RF
<built-in function iter>,-0.2944444444444444,-0.19444444444444453,-0.19999999999999996,Dummy-RF
<built-in function iter>,-0.257936507936508,-0.15366795366795372,-0.19999999999999996,Dummy-RF
<built-in function iter>,-0.25714285714285723,-0.1515151515151516,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.365079365079365,-0.1636363636363637,-0.3142857142857144,Dummy-RF
<built-in function iter>,-0.3111111111111112,-0.19819819819819828,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.2984126984126986,-0.24242424242424243,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.43968253968253956,-0.17619047619047623,-0.19999999999999996,Dummy-RF
<built-in function iter>,-0.44603174603174617,-0.16842105263157914,-0.1428571428571428,Dummy-RF
<built-in function iter>,-0.3388888888888888,-0.16880341880341887,-0.37142857142857144,Dummy-RF
<built-in function iter>,-0.32142857142857156,-0.07974910394265233,0.02857142857142858,Dummy-RF
<built-in function iter>,-0.3785714285714285,-0.20424403183023854,0.02857142857142858,Dummy-RF
<built-in function iter>,-0.33333333333333337,-0.1847290640394088,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.34206349206349207,-0.25194805194805203,-0.19999999999999996,Dummy-RF
<built-in function iter>,-0.257936507936508,-0.14698331193838254,-0.22857142857142854,Dummy-RF
<built-in function iter>,-0.419047619047619,-0.15852534562211984,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.2936507936507937,-0.07983193277310918,0.05714285714285716,Dummy-RF
<built-in function iter>,-0.25396825396825384,-0.18151260504201683,-0.20000000000000007,Dummy-RF
<built-in function iter>,-0.43968253968253973,-0.1966911764705882,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.3976190476190476,-0.2084942084942084,-0.17142857142857137,Dummy-RF
<built-in function iter>,-0.2904761904761905,-0.1636363636363637,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.3714285714285716,-0.0380067567567568,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.32936507936507936,-0.0804218852999341,-0.17142857142857137,Dummy-RF
<built-in function iter>,-0.40317460317460324,-0.1861861861861861,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.3555555555555553,-0.18214285714285705,0.08571428571428574,Dummy-RF
<built-in function iter>,-0.35396825396825393,-0.21904761904761905,-0.19999999999999996,Dummy-RF
<built-in function iter>,-0.37936507936507946,-0.09961389961389966,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.4682539682539682,-0.17708333333333337,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.3857142857142857,-0.11578947368421055,-0.08571428571428563,Dummy-RF
<built-in function iter>,-0.37857142857142856,-0.2366071428571429,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.40158730158730166,-0.22257551669316378,-0.2857142857142857,Dummy-RF
<built-in function iter>,-0.31666666666666676,-0.12677484787018245,0.0,Dummy-RF
<built-in function iter>,-0.2857142857142856,-0.07777777777777783,-0.4,Dummy-RF
<built-in function iter>,-0.21031746031746046,-0.1700879765395894,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.33492063492063484,-0.16666666666666674,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.4230158730158732,-0.2450450450450451,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.35238095238095246,-0.22352941176470587,-0.2857142857142858,Dummy-RF
<built-in function iter>,-0.25317460317460316,-0.0732574679943101,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.31587301587301586,-0.28662873399715505,-0.2857142857142857,Dummy-RF
<built-in function iter>,-0.3087301587301587,-0.08484848484848495,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.43333333333333335,-0.17543859649122806,-0.34285714285714297,Dummy-RF
<built-in function iter>,-0.296031746031746,-0.22836538461538458,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.32619047619047625,-0.21621621621621623,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.34920634920634935,-0.17690058479532167,-0.1428571428571428,Dummy-RF
<built-in function iter>,-0.36428571428571427,-0.22251082251082255,-0.25714285714285723,Dummy-RF
<built-in function iter>,-0.296031746031746,-0.2171052631578947,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.23888888888888893,-0.17647058823529405,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.45158730158730154,-0.10990712074303399,-0.19999999999999996,Dummy-RF
<built-in function iter>,-0.28888888888888886,-0.13787878787878782,0.0,Dummy-RF
<built-in function iter>,-0.28809523809523796,-0.13781512605042012,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.33730158730158727,-0.06718146718146722,-0.02857142857142858,Dummy-RF
