,RF_AUC,RF_Prec,RF_Rec,SVM10_26_AUC,SVM10_26_Prec,SVM10_26_Rec,SVM40_10_AUC,SVM40_10_Prec,SVM40_10_Rec,iter
872,[-0.46539792],[-0.15595238],[-0.14705882],[-0.43252595],[-0.09834369],[-0.20588235],[-0.44463668],[-0.38095238],[-0.05882353],999
873,[-0.44723183],[-0.11298077],[-0.26470588],[-0.44723183],[-0.09375],[-0.35294118],[-0.4299308],[-0.34375],[-0.11764706],999
874,[-0.19204152],[-0.0245614],[-0.17647059],[-0.30276817],[-0.04751773],[-0.38235294],[-0.31487889],[-0.36666667],[ 0.],999
875,[-0.40484429],[-0.05238095],[-0.20588235],[-0.37197232],[-0.01641337],[-0.26470588],[-0.39965398],[-0.31428571],[ 0.05882353],999
876,[-0.42387543],[-0.0530303],[-0.20588235],[-0.39273356],[-0.02042161],[-0.29411765],[-0.42733564],[-0.3030303],[ 0.02941176],999
877,[-0.52941176],[-0.17117117],[-0.26470588],[-0.53979239],[-0.10077519],[-0.32352941],[-0.53633218],[-0.33333333],[-0.05882353],999
878,[-0.37024221],[-0.03571429],[-0.14705882],[-0.35986159],[ 0.04761905],[-0.20588235],[-0.35813149],[-0.28571429],[-0.08823529],999
879,[-0.44636678],[-0.11382114],[-0.29411765],[-0.43944637],[-0.10077519],[-0.32352941],[-0.44463668],[-0.33333333],[-0.14705882],999
880,[-0.46107266],[-0.05714286],[-0.17647059],[-0.45588235],[ 0.00372671],[-0.23529412],[-0.48010381],[-0.25714286],[ 0.05882353],999
881,[-0.40743945],[-0.11923077],[-0.11764706],[-0.44896194],[-0.08913043],[-0.23529412],[-0.4766436],[-0.35],[ 0.11764706],999
882,[-0.30017301],[-0.06037152],[-0.14705882],[-0.25692042],[-0.03464052],[-0.26470588],[-0.30536332],[-0.32352941],[-0.02941176],999
883,[-0.34948097],[-0.04112554],[-0.23529412],[-0.32698962],[-0.02042161],[-0.29411765],[-0.35121107],[-0.3030303],[ 0.05882353],999
884,[-0.27681661],[ 0.00289575],[-0.17647059],[-0.24740484],[-0.02355623],[-0.41176471],[-0.28719723],[-0.32142857],[-0.11764706],999
885,[-0.44982699],[-0.12509653],[-0.17647059],[-0.46539792],[-0.05847176],[-0.23529412],[-0.46193772],[-0.31428571],[ 0.08823529],999
886,[-0.36764706],[-0.16666667],[-0.29411765],[-0.32958478],[-0.13821138],[-0.38235294],[-0.34515571],[-0.33333333],[-0.17647059],999
887,[-0.33044983],[-0.13888889],[-0.14705882],[-0.37024221],[-0.11720867],[-0.23529412],[-0.37370242],[-0.36111111],[ 0.14705882],999
