,RF_AUC,RF_Prec,RF_Rec,SVM10_26_AUC,SVM10_26_Prec,SVM10_26_Rec,SVM40_10_AUC,SVM40_10_Prec,SVM40_10_Rec,iter
183,[-0.40657439],[-0.01212121],[-0.17647059],[-0.39965398],[ 0.07048748],[-0.20588235],[-0.39100346],[-0.21212121],[-0.02941176],999
184,[-0.3200692],[-0.04920635],[-0.02941176],[-0.32352941],[-0.03387534],[-0.14705882],[-0.32525952],[-0.27777778],[ 0.17647059],999
185,[-0.38062284],[-0.12280702],[-0.29411765],[-0.37024221],[-0.10077519],[-0.38235294],[-0.38581315],[-0.33333333],[-0.02941176],999
186,[-0.49653979],[-0.19480519],[-0.14705882],[-0.4982699],[-0.07641196],[-0.26470588],[-0.50519031],[-0.28571429],[ 0.08823529],999
187,[-0.43944637],[-0.18918919],[-0.20588235],[-0.41349481],[-0.14959145],[-0.29411765],[-0.44809689],[-0.40540541],[-0.20588235],999
188,[-0.433391],[-0.11382114],[-0.17647059],[-0.43512111],[-0.05673759],[-0.23529412],[-0.46799308],[-0.33333333],[-0.08823529],999
189,[-0.46972318],[-0.12276423],[-0.35294118],[-0.45415225],[-0.07777778],[-0.38235294],[-0.48356401],[-0.36666667],[-0.23529412],999
190,[-0.29238754],[-0.12521008],[-0.14705882],[-0.31141869],[-0.11568627],[-0.35294118],[-0.30276817],[-0.38235294],[ 0.02941176],999
191,[-0.38581315],[-0.0380034],[-0.08823529],[-0.37197232],[-0.01272534],[-0.11764706],[-0.38581315],[-0.31707317],[ 0.08823529],999
192,[-0.41695502],[-0.03269231],[-0.05882353],[-0.35121107],[-0.01880342],[-0.14705882],[-0.4083045],[-0.30769231],[ 0.11764706],999
193,[-0.31141869],[-0.14153627],[-0.17647059],[-0.27508651],[-0.15110565],[-0.32352941],[-0.30795848],[-0.37837838],[-0.05882353],999
194,[-0.3884083],[-0.08253968],[-0.29411765],[-0.34515571],[-0.05142857],[-0.35294118],[-0.36764706],[-0.37142857],[-0.02941176],999
195,[-0.26038062],[-0.07905983],[-0.14705882],[-0.23269896],[-0.08451537],[-0.32352941],[-0.23788927],[-0.36111111],[ 0.17647059],999
196,[-0.53114187],[-0.14285714],[-0.26470588],[-0.48961938],[-0.08198758],[-0.32352941],[-0.51038062],[-0.34285714],[-0.11764706],999
197,[-0.39878893],[-0.07692308],[-0.08823529],[-0.42647059],[-0.05769231],[-0.17647059],[-0.41262976],[-0.30769231],[ 0.11764706],999
198,[-0.34861592],[-0.05878378],[ 0.],[-0.29844291],[-0.00833333],[-0.11764706],[-0.3399654],[-0.275],[ 0.29411765],999
199,[-0.32871972],[-0.08170732],[-0.11764706],[-0.33217993],[-0.04565217],[-0.17647059],[-0.34948097],[-0.35],[ 0.14705882],999
200,[-0.30017301],[-0.11840121],[-0.23529412],[-0.26903114],[-0.09097127],[-0.29411765],[-0.29844291],[-0.32352941],[ 0.],999
201,[-0.32612457],[-0.01631702],[-0.14705882],[-0.37110727],[-0.01691332],[-0.23529412],[-0.38148789],[-0.27272727],[ 0.],999
202,[-0.39532872],[-0.14919355],[-0.11764706],[-0.41782007],[-0.16071429],[-0.38235294],[-0.40570934],[-0.375],[ 0.08823529],999
203,[-0.44982699],[-0.05],[-0.05882353],[-0.43944637],[-0.00833333],[-0.11764706],[-0.43771626],[-0.275],[ 0.02941176],999
204,[-0.47404844],[-0.07518797],[-0.14705882],[-0.48442907],[ 0.0031746],[-0.20588235],[-0.49653979],[-0.28571429],[ 0.02941176],999
205,[-0.54584775],[-0.09984756],[-0.29411765],[-0.566609],[-0.06715426],[-0.38235294],[-0.57352941],[-0.34375],[-0.17647059],999
206,[-0.41176471],[ 0.00080128],[-0.14705882],[-0.37197232],[ 0.02309783],[-0.26470588],[-0.4100346],[-0.28125],[ 0.],999
207,[-0.47231834],[-0.14028314],[-0.26470588],[-0.43425606],[-0.09576968],[-0.29411765],[-0.46193772],[-0.37837838],[-0.14705882],999
208,[-0.44204152],[-0.14766082],[-0.11764706],[-0.4316609],[-0.10401003],[-0.20588235],[-0.45069204],[-0.34210526],[ 0.05882353],999
209,[-0.34083045],[-0.10042735],[-0.17647059],[-0.3183391],[-0.06111111],[-0.26470588],[-0.30795848],[-0.30555556],[-0.02941176],999
210,[-0.42474048],[-0.11969112],[-0.23529412],[-0.4316609],[-0.12279671],[-0.32352941],[-0.43685121],[-0.40540541],[ 0.02941176],999
211,[-0.44809689],[-0.09821429],[-0.32352941],[-0.42560554],[-0.06805556],[-0.35294118],[-0.45847751],[-0.3125],[-0.05882353],999
212,[-0.46453287],[-0.11379801],[-0.14705882],[-0.4766436],[-0.05765766],[-0.23529412],[-0.48875433],[-0.32432432],[-0.02941176],999
213,[-0.49740484],[-0.10462131],[-0.05882353],[-0.51470588],[-0.09701897],[-0.20588235],[-0.50605536],[-0.34146341],[ 0.11764706],999
214,[-0.35121107],[-0.0124183],[-0.23529412],[-0.38927336],[-0.03186275],[-0.32352941],[-0.37197232],[-0.32352941],[ 0.05882353],999
215,[-0.30709343],[-0.18918919],[-0.20588235],[-0.31055363],[-0.05765766],[-0.23529412],[-0.30709343],[-0.32432432],[ 0.05882353],999
216,[-0.54152249],[-0.12820513],[-0.20588235],[-0.52422145],[-0.10077519],[-0.26470588],[-0.53979239],[-0.33333333],[ 0.05882353],999
217,[-0.36678201],[-0.16426282],[-0.32352941],[-0.38581315],[-0.11647727],[-0.38235294],[-0.35986159],[-0.34375],[-0.05882353],999
218,[-0.46972318],[-0.06349206],[-0.20588235],[-0.49048443],[-0.00118203],[-0.23529412],[-0.48875433],[-0.27777778],[ 0.05882353],999
219,[-0.56141869],[-0.17186417],[-0.23529412],[-0.54930796],[-0.08468468],[-0.26470588],[-0.53373702],[-0.35135135],[ 0.02941176],999
220,[-0.39705882],[-0.175],[-0.23529412],[-0.39532872],[-0.16071429],[-0.38235294],[-0.42647059],[-0.375],[-0.11764706],999
221,[-0.49134948],[-0.17722474],[-0.29411765],[-0.48961938],[-0.1379085],[-0.38235294],[-0.50519031],[-0.38235294],[-0.20588235],999
222,[-0.41608997],[-0.15522876],[-0.11764706],[-0.41089965],[-0.07222222],[-0.26470588],[-0.40916955],[-0.36111111],[ 0.11764706],999
223,[-0.50346021],[-0.1242378],[-0.32352941],[-0.46539792],[-0.06715426],[-0.38235294],[-0.49134948],[-0.34375],[-0.14705882],999
224,[-0.3399654],[-0.14890886],[-0.23529412],[-0.35380623],[-0.09182531],[-0.29411765],[-0.34688581],[-0.36842105],[ 0.02941176],999
225,[-0.34688581],[-0.15151515],[-0.14705882],[-0.35553633],[-0.07751938],[-0.29411765],[-0.36591696],[-0.33333333],[-0.02941176],999
226,[-0.30709343],[-0.03650794],[-0.05882353],[-0.26903114],[ 0.01904762],[-0.17647059],[-0.31401384],[-0.31428571],[ 0.],999
227,[-0.39619377],[-0.17535153],[-0.35294118],[-0.4100346],[-0.12756598],[-0.41176471],[-0.41868512],[-0.35483871],[-0.20588235],999
228,[-0.35986159],[-0.08231707],[-0.26470588],[-0.33217993],[-0.0923913],[-0.38235294],[-0.34083045],[-0.375],[-0.11764706],999
229,[-0.38408304],[-0.18067227],[-0.20588235],[-0.35467128],[-0.05686275],[-0.29411765],[-0.38408304],[-0.32352941],[-0.02941176],999
230,[-0.4100346],[-0.0965251],[-0.14705882],[-0.43944637],[-0.02990033],[-0.20588235],[-0.41695502],[-0.28571429],[ 0.02941176],999
231,[-0.39100346],[-0.11935484],[-0.29411765],[-0.38754325],[-0.11323239],[-0.47058824],[-0.42906574],[-0.41935484],[-0.08823529],999
232,[-0.23010381],[-0.00277778],[-0.08823529],[-0.21107266],[ 0.02834467],[-0.23529412],[-0.24394464],[-0.27777778],[ 0.05882353],999
233,[-0.4783737],[-0.07440476],[-0.29411765],[-0.48010381],[-0.06805556],[-0.35294118],[-0.48356401],[-0.3125],[-0.26470588],999
234,[-0.44550173],[ 0.00641026],[-0.14705882],[-0.4783737],[-0.01744186],[-0.26470588],[-0.4766436],[-0.25],[-0.02941176],999
235,[-0.4766436],[-0.13812544],[-0.35294118],[-0.45415225],[-0.08143939],[-0.38235294],[-0.47145329],[-0.39393939],[-0.23529412],999
236,[-0.48183391],[-0.17192192],[-0.20588235],[-0.4783737],[-0.11111111],[-0.29411765],[-0.48875433],[-0.36111111],[-0.05882353],999
237,[-0.40051903],[-0.04411765],[ 0.],[-0.37802768],[-0.05021521],[-0.20588235],[-0.40570934],[-0.29411765],[ 0.05882353],999
238,[-0.41522491],[-0.15003695],[-0.32352941],[-0.39100346],[-0.13306983],[-0.41176471],[-0.41349481],[-0.39393939],[-0.08823529],999
239,[-0.38062284],[ 0.00513196],[-0.26470588],[-0.30968858],[ 0.02217742],[-0.32352941],[-0.32698962],[-0.29032258],[-0.08823529],999
240,[-0.39186851],[-0.09423077],[-0.08823529],[-0.36418685],[-0.03333333],[-0.20588235],[-0.3884083],[-0.325],[ 0.14705882],999
241,[-0.43771626],[-0.07104247],[-0.11764706],[-0.4083045],[-0.04761905],[-0.26470588],[-0.42560554],[-0.31428571],[ 0.11764706],999
242,[-0.42474048],[-0.05602241],[-0.23529412],[-0.48356401],[-0.00245098],[-0.29411765],[-0.48529412],[-0.29411765],[ 0.14705882],999
243,[-0.50951557],[-0.1772655],[-0.11764706],[-0.51643599],[-0.09176618],[-0.23529412],[-0.50951557],[-0.32432432],[ 0.05882353],999
244,[-0.37629758],[ 0.00980392],[-0.20588235],[-0.29152249],[-0.00438048],[-0.26470588],[-0.33477509],[-0.32352941],[-0.02941176],999
245,[-0.54152249],[-0.17948718],[-0.44117647],[-0.51730104],[-0.12374582],[-0.52941176],[-0.5432526],[-0.38461538],[-0.38235294],999
246,[-0.46799308],[-0.09206081],[-0.20588235],[-0.48183391],[-0.10176282],[-0.26470588],[-0.48875433],[-0.28125],[-0.05882353],999
247,[-0.5233564],[-0.19220779],[-0.23529412],[-0.54930796],[-0.14935065],[-0.35294118],[-0.55449827],[-0.36363636],[-0.14705882],999
248,[-0.57093426],[-0.19551282],[-0.35294118],[-0.57785467],[-0.11413043],[-0.41176471],[-0.57093426],[-0.375],[-0.11764706],999
249,[-0.38148789],[-0.17142857],[-0.32352941],[-0.37456747],[-0.16547619],[-0.44117647],[-0.37629758],[-0.45714286],[-0.11764706],999
250,[-0.58044983],[-0.14482759],[-0.38235294],[-0.55103806],[-0.11755486],[-0.44117647],[-0.59775087],[-0.34482759],[-0.14705882],999
251,[-0.34602076],[-0.07104247],[-0.11764706],[-0.3615917],[-0.05341615],[-0.29411765],[-0.35813149],[-0.31428571],[ 0.],999
252,[-0.44204152],[-0.11382114],[-0.29411765],[-0.44377163],[-0.02721088],[-0.35294118],[-0.41435986],[-0.33333333],[ 0.02941176],999
253,[-0.40916955],[-0.02280702],[-0.17647059],[-0.40916955],[ 0.03705693],[-0.17647059],[-0.41089965],[-0.28947368],[ 0.05882353],999
254,[-0.39619377],[-0.0491453],[-0.11764706],[-0.37197232],[-0.03282828],[-0.20588235],[-0.39446367],[-0.30555556],[ 0.17647059],999
255,[-0.44377163],[-0.05494505],[-0.14705882],[-0.46107266],[-0.07142857],[-0.23529412],[-0.45588235],[-0.28571429],[ 0.02941176],999
256,[-0.37543253],[-0.13888889],[-0.14705882],[-0.42733564],[-0.13333333],[-0.23529412],[-0.4083045],[-0.33333333],[ 0.14705882],999
257,[-0.49480969],[-0.10810811],[-0.11764706],[-0.47058824],[-0.07002457],[-0.23529412],[-0.49307958],[-0.2972973],[ 0.20588235],999
258,[-0.36245675],[-0.01984127],[-0.14705882],[-0.37110727],[-0.00768322],[-0.23529412],[-0.39532872],[-0.30555556],[ 0.],999
259,[-0.44982699],[-0.12752613],[-0.26470588],[-0.4100346],[-0.1047619],[-0.32352941],[-0.44290657],[-0.37142857],[-0.11764706],999
260,[-0.36937716],[-0.07017544],[-0.11764706],[-0.30190311],[-0.07751938],[-0.23529412],[-0.35899654],[-0.33333333],[ 0.],999
261,[-0.32612457],[ 0.0013369],[-0.20588235],[-0.33131488],[ 0.00375469],[-0.26470588],[-0.36764706],[-0.29411765],[ 0.],999
262,[-0.57093426],[-0.12756598],[-0.41176471],[-0.57785467],[-0.06317204],[-0.41176471],[-0.57785467],[-0.35483871],[-0.23529412],999
263,[-0.41349481],[-0.11561462],[-0.29411765],[-0.4083045],[-0.06708075],[-0.29411765],[-0.4083045],[-0.37142857],[-0.08823529],999
264,[-0.37456747],[-0.16363636],[-0.20588235],[-0.39532872],[-0.13107822],[-0.35294118],[-0.39532872],[-0.36363636],[-0.11764706],999
265,[-0.46020761],[-0.07692308],[-0.14705882],[-0.46712803],[-0.04444444],[-0.23529412],[-0.44463668],[-0.33333333],[ 0.08823529],999
266,[-0.31055363],[-0.1047619],[-0.14705882],[-0.24134948],[-0.03787879],[-0.26470588],[-0.25346021],[-0.33333333],[ 0.23529412],999
267,[-0.30795848],[ 0.01666667],[-0.20588235],[-0.316609],[ 0.01666667],[-0.29411765],[-0.32698962],[-0.23333333],[-0.11764706],999
268,[-0.40397924],[-0.07387141],[-0.26470588],[-0.41262976],[-0.08627451],[-0.32352941],[-0.4299308],[-0.35294118],[-0.02941176],999
269,[-0.4532872],[ 0.04306632],[-0.29411765],[-0.46193772],[ 0.04686319],[-0.41176471],[-0.44809689],[-0.25925926],[-0.11764706],999
270,[-0.13321799],[-0.06306306],[-0.14705882],[-0.12629758],[-0.05072464],[-0.32352941],[-0.14013841],[-0.33333333],[ 0.08823529],999
271,[-0.2932526],[-0.06804479],[-0.38235294],[-0.29152249],[-0.08148148],[-0.44117647],[-0.32439446],[-0.37037037],[-0.05882353],999
272,[-0.31228374],[-0.15294118],[-0.17647059],[-0.30363322],[-0.09712722],[-0.29411765],[-0.33823529],[-0.35294118],[-0.02941176],999
273,[-0.34083045],[-0.10673235],[-0.38235294],[-0.35640138],[-0.08395802],[-0.44117647],[-0.33564014],[-0.34482759],[-0.20588235],999
274,[-0.48096886],[-0.03776683],[-0.32352941],[-0.4567474],[-0.04858934],[-0.38235294],[-0.49307958],[-0.27586207],[-0.14705882],999
275,[-0.48356401],[-0.20861486],[-0.32352941],[-0.49740484],[-0.09930556],[-0.38235294],[-0.49394464],[-0.34375],[-0.11764706],999
276,[-0.48702422],[ 0.00674663],[-0.35294118],[-0.45588235],[ 0.03026038],[-0.38235294],[-0.50259516],[-0.27586207],[-0.20588235],999
277,[-0.41349481],[-0.22946429],[-0.29411765],[-0.4100346],[-0.12946429],[-0.35294118],[-0.4083045],[-0.34375],[-0.11764706],999
278,[-0.48875433],[-0.11609756],[-0.44117647],[-0.48010381],[-0.11],[-0.5],[-0.50951557],[-0.36],[-0.26470588],999
279,[-0.35726644],[-0.03671971],[-0.14705882],[-0.33304498],[-0.02412281],[-0.23529412],[-0.35553633],[-0.31578947],[-0.05882353],999
280,[-0.46280277],[-0.21780604],[-0.29411765],[-0.47145329],[-0.10849673],[-0.35294118],[-0.46972318],[-0.35294118],[-0.17647059],999
281,[-0.41435986],[-0.06949807],[-0.26470588],[-0.40397924],[-0.01904762],[-0.38235294],[-0.41955017],[-0.28571429],[-0.11764706],999
282,[-0.34948097],[-0.11677632],[-0.23529412],[-0.31487889],[-0.13958333],[-0.41176471],[-0.33564014],[-0.40625],[-0.17647059],999
283,[-0.54411765],[-0.10217535],[-0.20588235],[-0.55795848],[-0.05285285],[-0.23529412],[-0.55968858],[-0.2972973],[-0.08823529],999
284,[-0.39705882],[-0.17619048],[-0.20588235],[-0.31055363],[-0.11558442],[-0.32352941],[-0.35553633],[-0.34285714],[ 0.05882353],999
285,[-0.29844291],[-0.04761905],[-0.11764706],[-0.30536332],[-0.03546099],[-0.20588235],[-0.31574394],[-0.33333333],[-0.05882353],999
286,[-0.26816609],[-0.11382114],[-0.35294118],[-0.32352941],[-0.03546099],[-0.38235294],[-0.32352941],[-0.33333333],[-0.11764706],999
287,[-0.41782007],[-0.32380952],[-0.41176471],[-0.41608997],[-0.18405797],[-0.5],[-0.46972318],[-0.46666667],[-0.23529412],999
288,[-0.26557093],[-0.05714286],[-0.14705882],[-0.27768166],[-0.07391304],[-0.38235294],[-0.30017301],[-0.4],[-0.05882353],999
289,[-0.37889273],[-0.07692308],[-0.20588235],[-0.41695502],[-0.07246377],[-0.35294118],[-0.42906574],[-0.33333333],[ 0.11764706],999
290,[-0.35121107],[-0.01674641],[-0.14705882],[-0.32698962],[ 0.03705693],[-0.17647059],[-0.34429066],[-0.28947368],[-0.08823529],999
291,[-0.36678201],[-0.00143472],[-0.14705882],[-0.33910035],[ 0.00375469],[-0.26470588],[-0.39273356],[-0.29411765],[-0.02941176],999
292,[-0.56574394],[-0.1309371],[-0.08823529],[-0.56228374],[-0.07479675],[-0.17647059],[-0.57093426],[-0.34146341],[ 0.11764706],999
293,[-0.57785467],[-0.08901363],[-0.38235294],[-0.59515571],[-0.05316092],[-0.44117647],[-0.59342561],[-0.34482759],[-0.29411765],999
294,[-0.38754325],[-0.00357143],[-0.11764706],[-0.36851211],[ 0.03809524],[-0.17647059],[-0.39792388],[-0.22857143],[-0.02941176],999
295,[-0.2032872],[ 0.],[ 0.],[-0.2482699],[ 0.02573099],[-0.11764706],[-0.27076125],[-0.26315789],[ 0.14705882],999
296,[-0.45934256],[-0.10833333],[-0.20588235],[-0.40916955],[-0.04166667],[-0.29411765],[-0.44723183],[-0.33333333],[-0.02941176],999
297,[-0.41435986],[-0.10744891],[-0.20588235],[-0.40916955],[-0.06874266],[-0.26470588],[-0.44031142],[-0.35135135],[-0.02941176],999
298,[-0.55017301],[-0.22807018],[-0.41176471],[-0.53460208],[-0.18333333],[-0.41176471],[-0.5432526],[-0.33333333],[-0.26470588],999
299,[-0.4316609],[-0.10483871],[-0.20588235],[-0.45242215],[-0.11674347],[-0.35294118],[-0.44204152],[-0.35483871],[-0.05882353],999
300,[-0.32093426],[-0.12368024],[-0.02941176],[-0.29844291],[-0.12641622],[-0.23529412],[-0.32612457],[-0.35897436],[ 0.11764706],999
301,[-0.46712803],[-0.13513514],[-0.14705882],[-0.4567474],[-0.11325611],[-0.23529412],[-0.47058824],[-0.35135135],[ 0.05882353],999
302,[-0.32266436],[-0.07979626],[-0.23529412],[-0.29152249],[ 0.02078853],[-0.26470588],[-0.32439446],[-0.29032258],[-0.08823529],999
303,[-0.31228374],[-0.0247083],[-0.35294118],[-0.2932526],[-0.00258065],[-0.38235294],[-0.30709343],[-0.32258065],[-0.23529412],999
304,[-0.51989619],[-0.11868687],[-0.05882353],[-0.5683391],[-0.15180879],[-0.32352941],[-0.58910035],[-0.36111111],[ 0.11764706],999
305,[-0.36072664],[-0.09902476],[-0.35294118],[-0.36072664],[-0.07223001],[-0.38235294],[-0.37629758],[-0.35483871],[-0.08823529],999
306,[-0.36678201],[-0.05806452],[-0.14705882],[-0.33044983],[-0.00225056],[-0.26470588],[-0.39619377],[-0.25806452],[-0.02941176],999
307,[-0.33131488],[-0.10833333],[-0.26470588],[-0.33131488],[-0.08888889],[-0.35294118],[-0.35207612],[-0.33333333],[-0.05882353],999
308,[-0.31141869],[-0.16039427],[-0.26470588],[-0.29238754],[-0.09293395],[-0.32352941],[-0.30103806],[-0.35483871],[-0.11764706],999
309,[-0.41782007],[-0.11220311],[-0.02941176],[-0.36591696],[-0.0199765],[-0.20588235],[-0.38321799],[-0.32432432],[ 0.11764706],999
310,[-0.43685121],[-0.05222734],[-0.29411765],[-0.41262976],[-0.04587814],[-0.35294118],[-0.433391],[-0.29032258],[-0.11764706],999
311,[-0.48529412],[-0.07513417],[-0.17647059],[-0.45588235],[-0.04682274],[-0.20588235],[-0.49048443],[-0.30769231],[-0.05882353],999
312,[-0.5],[-0.03686636],[-0.26470588],[-0.4982699],[-0.03369176],[-0.32352941],[-0.48615917],[-0.32258065],[-0.11764706],999
313,[-0.31228374],[-0.17708333],[-0.26470588],[-0.29152249],[-0.15327381],[-0.38235294],[-0.30882353],[-0.34375],[-0.17647059],999
314,[-0.42387543],[-0.06818182],[-0.08823529],[-0.41868512],[-0.025],[-0.20588235],[-0.43079585],[-0.25],[ 0.23529412],999
315,[-0.32439446],[-0.08571429],[-0.23529412],[-0.34342561],[-0.1047619],[-0.32352941],[-0.33650519],[-0.37142857],[-0.05882353],999
316,[-0.39792388],[-0.09653092],[-0.20588235],[-0.4550173],[-0.09712722],[-0.29411765],[-0.45847751],[-0.35294118],[ 0.17647059],999
317,[-0.54411765],[-0.03333333],[-0.26470588],[-0.50259516],[ 0.01111111],[-0.32352941],[-0.55276817],[-0.23333333],[-0.08823529],999
318,[-0.30449827],[-0.18970814],[-0.41176471],[-0.30968858],[-0.17501716],[-0.5],[-0.30449827],[-0.4516129],[-0.23529412],999
319,[-0.30536332],[-0.14412417],[-0.32352941],[-0.31228374],[-0.11363636],[-0.35294118],[-0.30882353],[-0.36363636],[-0.05882353],999
320,[-0.5],[-0.08978328],[-0.17647059],[-0.47577855],[-0.04859335],[-0.29411765],[-0.52595156],[-0.35294118],[-0.05882353],999
321,[-0.27422145],[-0.03734756],[-0.23529412],[-0.24134948],[ 0.01662234],[-0.29411765],[-0.2949827],[-0.28125],[-0.08823529],999
322,[-0.3416955],[-0.0625],[-0.32352941],[-0.34515571],[-0.02083333],[-0.35294118],[-0.32093426],[-0.3125],[-0.08823529],999
323,[-0.34948097],[-0.18858561],[-0.35294118],[-0.33737024],[-0.15268817],[-0.44117647],[-0.35813149],[-0.41935484],[-0.14705882],999
324,[-0.33044983],[-0.11447368],[-0.08823529],[-0.32352941],[-0.09244186],[-0.17647059],[-0.33910035],[-0.325],[ 0.05882353],999
325,[-0.59688581],[-0.22142857],[-0.35294118],[-0.61072664],[-0.12619048],[-0.47058824],[-0.61418685],[-0.39285714],[-0.20588235],999
326,[-0.53200692],[-0.15555556],[-0.38235294],[-0.50259516],[-0.09387755],[-0.38235294],[-0.52681661],[-0.4],[-0.23529412],999
327,[-0.44809689],[-0.18402778],[-0.26470588],[-0.44290657],[-0.14434524],[-0.35294118],[-0.39273356],[-0.40625],[ 0.],999
328,[-0.51384083],[-0.09494109],[-0.14705882],[-0.53806228],[-0.06874266],[-0.26470588],[-0.51730104],[-0.35135135],[-0.02941176],999
329,[-0.23356401],[-0.14423077],[-0.29411765],[-0.23183391],[-0.11413043],[-0.41176471],[-0.24048443],[-0.375],[-0.17647059],999
330,[-0.47750865],[-0.12509653],[-0.17647059],[-0.50865052],[-0.08172757],[-0.26470588],[-0.49653979],[-0.31428571],[-0.02941176],999
331,[-0.48096886],[-0.23333333],[-0.26470588],[-0.46366782],[-0.19069767],[-0.38235294],[-0.48269896],[-0.4],[-0.08823529],999
332,[-0.39619377],[-0.08002736],[-0.26470588],[-0.36851211],[-0.06320401],[-0.32352941],[-0.39619377],[-0.38235294],[ 0.],999
333,[-0.41608997],[-0.16136725],[-0.23529412],[-0.39878893],[-0.05686275],[-0.29411765],[-0.39878893],[-0.32352941],[-0.11764706],999
334,[-0.47577855],[-0.06710526],[-0.11764706],[-0.46020761],[-0.0754386],[-0.23529412],[-0.47577855],[-0.34210526],[ 0.08823529],999
335,[-0.30276817],[-0.02384738],[-0.08823529],[-0.25259516],[-0.00522876],[-0.23529412],[-0.29584775],[-0.29411765],[ 0.05882353],999
336,[-0.54238754],[-0.16210526],[-0.44117647],[-0.54757785],[-0.14926829],[-0.5],[-0.5233564],[-0.32],[-0.17647059],999
337,[-0.4299308],[ 0.03929539],[-0.05882353],[-0.46107266],[ 0.03472222],[-0.20588235],[-0.43685121],[-0.27777778],[ 0.08823529],999
338,[-0.38235294],[-0.07905983],[-0.14705882],[-0.40657439],[-0.09920635],[-0.23529412],[-0.40138408],[-0.36111111],[ 0.02941176],999
339,[-0.44982699],[-0.19085366],[-0.20588235],[-0.43425606],[-0.17073171],[-0.20588235],[-0.44463668],[-0.36585366],[ 0.02941176],999
340,[-0.48615917],[ 0.0047619],[-0.14705882],[-0.51384083],[ 0.00372671],[-0.23529412],[-0.52076125],[-0.25714286],[ 0.],999
341,[-0.41608997],[-0.07081039],[-0.29411765],[-0.43685121],[-0.04587814],[-0.35294118],[-0.43685121],[-0.29032258],[-0.02941176],999
342,[-0.37197232],[-0.0625],[-0.14705882],[-0.35640138],[-0.01017442],[-0.23529412],[-0.35121107],[-0.3125],[ 0.11764706],999
343,[-0.52681661],[-0.19551282],[-0.35294118],[-0.51989619],[-0.07712766],[-0.38235294],[-0.52681661],[-0.375],[-0.14705882],999
344,[-0.41349481],[-0.08184524],[-0.29411765],[-0.42560554],[-0.08793605],[-0.32352941],[-0.41868512],[-0.34375],[-0.14705882],999
345,[-0.46280277],[-0.1484127],[-0.17647059],[-0.44204152],[-0.08704319],[-0.26470588],[-0.46626298],[-0.34285714],[ 0.02941176],999
346,[-0.5],[-0.12531539],[-0.38235294],[-0.48269896],[-0.05316092],[-0.44117647],[-0.47231834],[-0.34482759],[-0.17647059],999
347,[-0.30449827],[-0.22939068],[-0.32352941],[-0.30968858],[-0.22434018],[-0.5],[-0.32871972],[-0.4516129],[-0.14705882],999
348,[-0.35640138],[-0.03306452],[-0.23529412],[-0.3183391],[ 0.00280505],[-0.32352941],[-0.35121107],[-0.25806452],[-0.08823529],999
349,[-0.28460208],[-0.11111111],[-0.11764706],[-0.28979239],[-0.0952381],[-0.23529412],[-0.28287197],[-0.33333333],[ 0.],999
350,[-0.28719723],[-0.08464849],[-0.23529412],[-0.29238754],[-0.07634543],[-0.35294118],[-0.28546713],[-0.35294118],[-0.02941176],999
351,[-0.37283737],[-0.01071429],[-0.11764706],[-0.3416955],[-0.00911854],[-0.26470588],[-0.39532872],[-0.28571429],[ 0.05882353],999
352,[-0.46366782],[-0.14414414],[-0.17647059],[-0.46712803],[-0.03787879],[-0.20588235],[-0.46539792],[-0.33333333],[-0.02941176],999
353,[-0.34948097],[-0.03391232],[-0.20588235],[-0.33044983],[-0.04032258],[-0.32352941],[-0.3200692],[-0.29032258],[-0.02941176],999
354,[-0.52076125],[-0.15971676],[-0.38235294],[-0.53460208],[-0.06317204],[-0.41176471],[-0.53806228],[-0.35483871],[-0.26470588],999
355,[-0.3849481],[ 0.00276498],[-0.08823529],[-0.3884083],[ 0.05326332],[-0.20588235],[-0.40397924],[-0.22580645],[ 0.],999
356,[-0.48702422],[-0.13242784],[-0.29411765],[-0.46453287],[-0.07603687],[-0.32352941],[-0.48010381],[-0.29032258],[-0.08823529],999
357,[-0.37802768],[-0.11888112],[-0.26470588],[-0.37975779],[-0.06342495],[-0.29411765],[-0.37975779],[-0.27272727],[-0.05882353],999
358,[-0.36591696],[-0.19435484],[-0.38235294],[-0.37802768],[-0.1867967],[-0.44117647],[-0.36937716],[-0.41935484],[-0.08823529],999
359,[-0.50778547],[-0.09356725],[-0.05882353],[-0.55276817],[-0.08323133],[-0.20588235],[-0.53373702],[-0.31578947],[-0.02941176],999
360,[-0.42906574],[ 0.00384025],[-0.23529412],[-0.43944637],[ 0.00860215],[-0.29411765],[-0.4567474],[-0.25806452],[-0.02941176],999
361,[-0.50865052],[-0.11382114],[-0.29411765],[-0.47058824],[-0.05673759],[-0.35294118],[-0.50519031],[-0.33333333],[-0.11764706],999
362,[-0.45415225],[-0.01111111],[-0.20588235],[-0.44377163],[-0.00118203],[-0.23529412],[-0.47318339],[-0.27777778],[-0.02941176],999
363,[-0.3200692],[-0.23719165],[-0.29411765],[-0.32871972],[-0.08817204],[-0.38235294],[-0.34083045],[-0.35483871],[-0.14705882],999
364,[-0.45415225],[-0.13233083],[-0.20588235],[-0.47318339],[-0.0662614],[-0.32352941],[-0.47491349],[-0.34285714],[ 0.02941176],999
365,[-0.41522491],[-0.10042735],[-0.17647059],[-0.39619377],[-0.02294686],[-0.23529412],[-0.41868512],[-0.30555556],[ 0.],999
